Comment,Designator,Footprint,LCSC
"100nf","C1,C3,C4,C11,C12,C13,C20,C23,C25,C26,C27","Capacitor_SMD:C_0805_2012Metric","C28233"
"10uf","C10","Capacitor_SMD:C_0805_2012Metric","C15850"
"100uf","C14,C16","Capacitor_SMD:CP_Elec_8x10","C445063"
"33nf","C15,C17","Capacitor_SMD:C_0805_2012Metric","C53175"
"4.7uf","C18","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","NA"
"470nf","C19","Capacitor_SMD:C_0805_2012Metric","C13967"
"2.2uf","C2,C9","Capacitor_SMD:C_0805_2012Metric","C49217"
"4.7uf","C5,C6,C21,C22,C24","Capacitor_SMD:C_0805_2012Metric","C1779"
"470uf","C7,C8","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","C513392"
"SS310","D1,D2,D3,D5,D6,D7","Diode_SMD:D_SMA","C15874"
"1N4007","D4,D8","Diode_SMD:D_SMA","C727081"
"D_Zener_Small","D9,D10","Diode_SMD:D_MiniMELF_Handsoldering","C8062"
"LCD","DS1","LCD:LCD_LCM-S01602DTR_A","NA"
"35A","F1,F2","Fuse:Fuseholder_Blade_Mini_Keystone_3568","NA"
"Heatsink","HS1","Heatsink:Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm","NA"
"SOLAR","J1","Phoenix_10.16_terminal_1709681:Phoenix_10.16_terminal_1709681","NA"
"Conn_01x01_Female","J2,J3,J4,J5,J6,J7,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34","TestPoint:TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded","NA"
"FAN","J36","Phoenix_10.16_terminal_1709681:Phoenix_10.16_terminal_1709681","NA"
"I2C_CON","J38","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","NA"
"BATT","J8","Phoenix_10.16_terminal_1709681:Phoenix_10.16_terminal_1709681","NA"
"USB_OTG","J9","Connector_USB:USB_Micro-AB_Molex_47590-0001","C136001"
"64uH","L1","Inductor_THT:L_Axial_L30.0mm_D8.0mm_P35.56mm_Horizontal_Fastron_77A","NA"
"100uH","L2,L3","Inductor_SMD:L_Taiyo-Yuden_NR-60xx_HandSoldering","C88132"
"LED","LED1,LED2","LED_SMD:LED_0805_2012Metric","C84256"
"Logo_Open_Hardware_Small","LOGO1","Symbol:OSHW-Symbol_6.7x6mm_SilkScreen","NA"
"CSD19505","Q1,Q2,Q3","Package_TO_SOT_THT:TO-220-3_Vertical","C485534"
"Si2306","Q4,Q9","Package_TO_SOT_SMD:SOT-23","C347489"
"2N3904","Q5,Q6","Package_TO_SOT_SMD:SOT-23","C18536"
"PMOS-100V-78A","Q7,Q8","Package_TO_SOT_SMD:TO-252-2","C216784"
"200k","R1","Resistor_SMD:R_0805_2012Metric","C17539"
"15k","R14,R15,R17,R18","Resistor_SMD:R_0805_2012Metric","C17475"
"5.1k","R2","Resistor_SMD:R_0805_2012Metric","C27834"
"3.3k","R3","Resistor_SMD:R_0805_2012Metric","C26010"
"47k","R32,R33","Resistor_SMD:R_0805_2012Metric","C17713"
"10k_-tc","R35","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","NA"
"0R","R38,R39","Resistor_SMD:R_0603_1608Metric","C21189"
"10k","R4,R6,R7,R12,R13,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R36,R37,R43,R46,R47,R48","Resistor_SMD:R_0805_2012Metric","C17724"
"330","R49","Resistor_SMD:R_0805_2012Metric","C17630"
"1k","R5,R16,R19,R34,R41,R42","Resistor_SMD:R_0805_2012Metric","C17513"
"100k","R8,R11,R40","Resistor_SMD:R_0805_2012Metric","C149504"
"100","R9,R10","Resistor_SMD:R_0805_2012Metric","C17408"
"10k","RV1","Potentiometer_SMD:Potentiometer_Bourns_3314G_Vertical","C780220"
"RIGHT","SW1","Button_Switch_SMD:SW_SPST_EVQQ2","C318884"
"LEFT","SW2","Button_Switch_SMD:SW_SPST_EVQQ2","C318884"
"BACK","SW3","Button_Switch_SMD:SW_SPST_EVQQ2","C318884"
"SELECT","SW4","Button_Switch_SMD:SW_SPST_EVQQ2","C318884"
"ACS712-30A","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C9932"
"ADS1015","U10","Package_SO:TSSOP-10_3x3mm_P0.5mm","C193969"
"NUP4202","U11","Package_TO_SOT_SMD:SOT-363_SC-70-6","C89319"
"PCF8574","U12","Package_SO:SSOP-20_5.3x7.2mm_P0.65mm","C57790"
"B1212","U2","Converter_DCDC:Converter_DCDC_muRata_CRE1xxxxxxSC_THT","C5127060"
"AMS1117-5.0","U3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6187"
"AMS1117-3.3","U4","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"XL7005A","U5,U6","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C50848"
"IR2104","U7","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C2960"
"ESP32-WROOM-32","U8","RF_Module:ESP32-WROOM-32","C701343"
"CH340C","U9","Package_SO:STC_SOP-16_3.9x9.9mm_P1.27mm","C84681"